Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"He, J., Xiong, N.","55978290700; 35231569200","An effective information detection method for social big data",2017,"Multimedia Tools and Applications",,"",,1,29,,,10.1007/s11042-017-5523-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038381283&partnerID=40&md5=60a664d0fbee60ce7a59c3a638d0608c",[No source information available],Article in Press,,Scopus,2-s2.0-85038381283
"He, J., Xiong, N.","55978290700; 35231569200","An effective information detection method for social big data",2017,"Multimedia Tools and Applications",77,"9",,11277,11305,,2,10.1007/s11042-017-5523-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056593236&partnerID=40&md5=0eff3c83fb212cb53308a096157ab196",Article,Final,,Scopus,2-s2.0-85056593236
"Hemmatian, F., Sohrabi, M.K.","57199704602; 55140840200","A survey on classification techniques for opinion mining and sentiment analysis",2017,"Artificial Intelligence Review",,"",,1,51,,21,10.1007/s10462-017-9599-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038377156&partnerID=40&md5=814142f48bfd0ff997915078fac3b9ff",[No source information available],Article in Press,,Scopus,2-s2.0-85038377156
"Devi, S.G., Sabrigiriraj, M.","57203056742; 19934483700","Swarm intelligent based online feature selection (OFS) and weighted entropy frequent pattern mining (WEFPM) algorithm for big data analysis",2017,"Cluster Computing",,"",,1,13,,3,10.1007/s10586-017-1489-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038084236&partnerID=40&md5=fa7d426524b3c7e90c25e7ac67567c4c",[No source information available],Article in Press,,Scopus,2-s2.0-85038084236
"Sun, T., Sheldon, D., Oconnor, B.","56097319000; 23398451200; 57201216199","A probabilistic approach for learning with label proportions applied to the US presidential election",2017,"Proceedings - IEEE International Conference on Data Mining, ICDM",2017-November,"",,445,454,,6,10.1109/ICDM.2017.54,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043994894&partnerID=40&md5=2b63dfc350ad66cad32b9d3e632de437",Conference Paper,Final,,Scopus,2-s2.0-85043994894
"Rossi, A., Perri, E., Trecroci, A., Savino, M., Alberti, G., Iaia, F.M.","55493365600; 56971040900; 56190587000; 57193614317; 14624930300; 57201313095","GPS data reflect players' internal load in soccer",2017,"IEEE International Conference on Data Mining Workshops, ICDMW",2017-November,"",,890,893,,2,10.1109/ICDMW.2017.122,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044048508&partnerID=40&md5=15549069bce6501b6051b09ef8a110ba",Conference Paper,Final,,Scopus,2-s2.0-85044048508
"Ardehaly, E.M., Culotta, A.","57160446200; 10244153500","Mining the demographics of political sentiment from twitter using learning from label proportions",2017,"Proceedings - IEEE International Conference on Data Mining, ICDM",2017-November,"",,733,738,,1,10.1109/ICDM.2017.84,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043990507&partnerID=40&md5=34870e08b97a061233cc44e5bb55cfb0",Conference Paper,Final,,Scopus,2-s2.0-85043990507
"Brugere, I., Kanich, C., Berger-Wolf, T.Y.","54386571600; 34872333400; 14830925800","Network Model Selection for Task-Focused Attributed Network Inference",2017,"IEEE International Conference on Data Mining Workshops, ICDMW",2017-November,"",,118,125,,1,10.1109/ICDMW.2017.21,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044053570&partnerID=40&md5=abcfcd26402290066edc200a46da456e",Conference Paper,Final,,Scopus,2-s2.0-85044053570
"Podkorytov, M., Soderman, D., Gubanov, M.","57201257204; 57201254829; 25027254300","Hybrid.poly: An Interactive Large-Scale In-memory Analytical Polystore",2017,"IEEE International Conference on Data Mining Workshops, ICDMW",2017-November,"",,43,50,,3,10.1109/ICDMW.2017.13,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044068582&partnerID=40&md5=f097a14c78e3c2cb2cd7c37653a64390",Conference Paper,Final,,Scopus,2-s2.0-85044068582
"Wang, X., Fang, B., Zhang, H., Wang, Y.","57196061790; 7102405844; 55809825900; 39763135800","A competitive model of popularity prediction using correlation matrix",2017,"Cluster Computing",,"",,1,13,,1,10.1007/s10586-017-1461-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038099470&partnerID=40&md5=57711c1d57e139a152f44c87ea06bfe7",[No source information available],Article in Press,,Scopus,2-s2.0-85038099470
"Hassan, A.U., Hussain, J., Hussain, M., Sadiq, M., Lee, S.","57202037303; 56492488200; 35213389000; 57200569016; 8956579500","Sentiment analysis of social networking sites (SNS) data using machine learning approach for the measurement of depression",2017,"International Conference on Information and Communication Technology Convergence: ICT Convergence Technologies Leading the Fourth Industrial Revolution, ICTC 2017",2017-December,"",,138,140,,3,10.1109/ICTC.2017.8190959,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046887956&partnerID=40&md5=258d2aaa87f7916e03ae9ae9cc4f9f41",Conference Paper,Final,,Scopus,2-s2.0-85046887956
"Sekiya, T., Matsuda, Y., Yamaguchi, K.","35759565700; 7402705755; 8733428300","A web-based curriculum engineering tool for investigating syllabi in topic space of standard computer science curricula",2017,"Proceedings - Frontiers in Education Conference, FIE",2017-October,"",,1,9,,2,10.1109/FIE.2017.8190598,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85035104332&partnerID=40&md5=4e38f5594b516566406d6b551e5eda8f",Conference Paper,Final,,Scopus,2-s2.0-85035104332
"Choi, W., Kim, J., Kim, S., Kim, J.","57202039645; 55603289800; 57196229314; 55928127600","A study of reference metadata classification with deep learning",2017,"International Conference on Information and Communication Technology Convergence: ICT Convergence Technologies Leading the Fourth Industrial Revolution, ICTC 2017",2017-December,"",,144,146,,,10.1109/ICTC.2017.8190961,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046902491&partnerID=40&md5=f8ffa4942bc5597b1db0709945c94b80",Conference Paper,Final,,Scopus,2-s2.0-85046902491
